[161]	validate-mlogloss:0.11282	train-mlogloss:0.02034
[162]	validate-mlogloss:0.11305	train-mlogloss:0.01995
[163]	validate-mlogloss:0.11342	train-mlogloss:0.01962
[164]	validate-mlogloss:0.11350	train-mlogloss:0.01931
[165]	validate-mlogloss:0.11357	train-mlogloss:0.01902
[166]	validate-mlogloss:0.11365	train-mlogloss:0.01872
[167]	validate-mlogloss:0.11401	train-mlogloss:0.01847
[168]	validate-mlogloss:0.11435	train-mlogloss:0.01819
[169]	validate-mlogloss:0.11481	train-mlogloss:0.01787
[170]	validate-mlogloss:0.11507	train-mlogloss:0.01765
[171]	validate-mlogloss:0.11567	train-mlogloss:0.01742
[172]	validate-mlogloss:0.11624	train-mlogloss:0.01728
[173]	validate-mlogloss:0.11639	train-mlogloss:0.01717
[174]	validate-mlogloss:0.11634	train-mlogloss:0.01698
[175]	validate-mlogloss:0.11632	train-mlogloss:0.01677
[176]	validate-mlogloss:0.11641	train-mlogloss:0.01659
[177]	validate-mlogloss:0.11687	train-mlogloss:0.01644
[178]	validate-mlogloss:0.11693	train-mlogloss:0.01620
[179]	validate-mlogloss:0.11756	train-mlogloss:0.01609
[180]	validate-mlogloss:0.11774	train-mlogloss:0.01594
[181]	validate-mlogloss:0.11828	train-mlogloss:0.01583
[182]	validate-mlogloss:0.11833	train-mlogloss:0.01573
[183]	validate-mlogloss:0.11821	train-mlogloss:0.01560
[184]	validate-mlogloss:0.11853	train-mlogloss:0.01551
[185]	validate-mlogloss:0.11897	train-mlogloss:0.01544
[186]	validate-mlogloss:0.11934	train-mlogloss:0.01531
[187]	validate-mlogloss:0.11985	train-mlogloss:0.01517
[188]	validate-mlogloss:0.12050	train-mlogloss:0.01505
[189]	validate-mlogloss:0.12094	train-mlogloss:0.01495
[190]	validate-mlogloss:0.12078	train-mlogloss:0.01491
[191]	validate-mlogloss:0.12062	train-mlogloss:0.01491
[192]	validate-mlogloss:0.12070	train-mlogloss:0.01482
[193]	validate-mlogloss:0.12064	train-mlogloss:0.01478
[194]	validate-mlogloss:0.12098	train-mlogloss:0.01468
[195]	validate-mlogloss:0.12150	train-mlogloss:0.01458
[196]	validate-mlogloss:0.12150	train-mlogloss:0.01454
[197]	validate-mlogloss:0.12141	train-mlogloss:0.01450
[198]	validate-mlogloss:0.12157	train-mlogloss:0.01445
[199]	validate-mlogloss:0.12132	train-mlogloss:0.01442
[200]	validate-mlogloss:0.12132	train-mlogloss:0.01438
[201]	validate-mlogloss:0.12206	train-mlogloss:0.01425
[202]	validate-mlogloss:0.12242	train-mlogloss:0.01419
[203]	validate-mlogloss:0.12265	train-mlogloss:0.01410
[204]	validate-mlogloss:0.12282	train-mlogloss:0.01406
[205]	validate-mlogloss:0.12296	train-mlogloss:0.01402
[206]	validate-mlogloss:0.12299	train-mlogloss:0.01402
[207]	validate-mlogloss:0.12311	train-mlogloss:0.01398
[208]	validate-mlogloss:0.12295	train-mlogloss:0.01394
[209]	validate-mlogloss:0.12332	train-mlogloss:0.01389
[210]	validate-mlogloss:0.12311	train-mlogloss:0.01384
[211]	validate-mlogloss:0.12362	train-mlogloss:0.01379
